Especialidad	Patología	Genes	Metodología
Enfermedades Cardiovasculares	ANEURISMA AÓRTICO TORÁCICO Y DISECCIÓN AÓRTICA	ACTA2	Secuenciación Sanger
Enfermedades Cardiovasculares	ANEURISMA AÓRTICO TORÁCICO Y DISECCIÓN AÓRTICA	TGFBR2	Secuenciación Sanger
Enfermedades Cardiovasculares	ANEURISMA AÓRTICO TORÁCICO Y DISECCIÓN AÓRTICA	SMAD3	Secuenciación Sanger
Enfermedades Cardiovasculares	ANEURISMA AÓRTICO TORÁCICO Y DISECCIÓN AÓRTICA	TGFBR1	Secuenciación Sanger
Enfermedades Cardiovasculares	ANEURISMA AÓRTICO TORÁCICO Y DISECCIÓN AÓRTICA	MYLK	Secuenciación por NGS
Enfermedades Cardiovasculares	ANEURISMA AÓRTICO TORÁCICO Y DISECCIÓN AÓRTICA	MYLK	Secuenciación Sanger
Enfermedades Cardiovasculares	ANEURISMA AÓRTICO TORÁCICO Y DISECCIÓN AÓRTICA	MYH11	Secuenciación por NGS
Enfermedades Cardiovasculares	ANEURISMA AÓRTICO TORÁCICO Y DISECCIÓN AÓRTICA	MYH11	Secuenciación Sanger
Enfermedades Cardiovasculares	ANEURISMA AÓRTICO TORÁCICO Y DISECCIÓN AÓRTICA	TGFB2	Secuenciación Sanger
Enfermedades Cardiovasculares	ANEURISMA AÓRTICO TORÁCICO Y DISECCIÓN AÓRTICA	FBN1	Secuenciación por NGS
Enfermedades Cardiovasculares	ANEURISMA AÓRTICO TORÁCICO Y DISECCIÓN AÓRTICA	FBN1	Secuenciación Sanger
Enfermedades Cardiovasculares	AORTOPATÍAS/ TRASTORNOS AÓRTICOS	ABCC6, ABCC9, ABL1, ACTA2, ADAMTS10, ADAMTS17, ADAMTS2, ADAMTSL4, ALDH18A1, ATP7A, B3GAT3, BGN, CBS, CHST14, COL1A1, COL1A2, COL2A1, COL3A1, COL4A5, COL5A1, COL5A2, EFEMP2, ELN, ENPP1, FBLN5, FBN1, FBN2, FKBP14, FLNA, FLNB, FOXE3, GAA, GATA5, HCN4, HRAS, KCNJ8, LOX, LTBP3, MAT2A, MED12, MFAP5, MYH11, MYLK, MYLK2, NKX2-5, NOTCH1, PLOD1, PLOD3, PRKG1, PTPN11, SKI, SLC2A10, SLC39A13, SMAD2, SMAD3, SMAD4, SMAD6, TAB2, TGFB2, TGFB3, TGFBR1, TGFBR2, TNXB, ZDHHC9, ZNF469	PANEL POR EXOMA CLÍNICO (Sec. & CNVs) - 65 genes
Enfermedades Cardiovasculares	ARRITMIAS HEREDITARIAS	ABCC9, ACTC1, ACTN2, AKAP9, ALG10B, AMPD1, ANK2, ANKRD1, BAG3, CACNA1C, CACNA1D, CACNA2D1, CACNB2, CALM1, CALM2, CALM3, CASQ2, CAV3, CAVIN1, CDH2, CETP, CPT1A, CPT2, CRYAB, CSRP3, CTF1, CTNNA3, DBH, DES, DMD, DMPK, DPP6, DSC2, DSG2, DSP, DTNA, EMD, EYA4, FHL1, FHL2, FKRP, FKTN, FLNC, GAA, GATA4, GATA5, GATA6, GATAD1, GJA1, GJA5, GLA, GNAI2, GNB3, GPD1L, GTPBP3, GYG1, HADHA, HCN4, HEY2, HFE, HRAS, ILK, JPH2, JUP, KCNA5, KCND2, KCND3, KCNE1, KCNE2, KCNE3, KCNE4, KCNE5, KCNH2, KCNJ2, KCNJ5, KCNJ8, KCNK17, KCNK3, KCNQ1, KCNQ2, KCNQ3, KCNT1, LAMA4, LAMP2, LDB3, LMNA, LMX1B, MTFMT, MTO1, MYBPC3, MYH6, MYH7, MYL2, MYL3, MYPN, NEXN, NKX2-5, NKX2-6, NOS1AP, NPPA, NRAS, NUP155, PCDH19, PDLIM3, PITX2, PKP2, PLN, PMP22, PRDM16, PRKAG2, PRRT2, PSEN1, PSEN2, PTPN11, RAF1, RANGRF, RBM20, RYR1, RYR2, SALL4, SCN10A, SCN1A, SCN1B, SCN2B, SCN3B, SCN4B, SCN5A, SCN8A, SCN9A, SEMA3A, SGCD, SLC12A3, SLC19A2, SLC22A5, SLC25A20, SLC2A1, SLC4A3, SLMAP, SNTA1, SYNE2, TAZ, TBX20, TBX5, TCAP, TGFB3, TLL1, TMEM43, TMPO, TNNC1, TNNI3, TNNI3K, TNNT2, TPM1, TRDN, TRPM4, TTN, TTR, TXNRD2, VCL, XK	PANEL POR EXOMA CLÍNICO (Sec. & CNVs) – 160 genes
Enfermedades Cardiovasculares	CANALOPATÍAS CARDÍACAS	ABCC9, AKAP9, ANK2, CACNA1C, CACNA2D1, CACNB2, CALM1, CALM2, CALM3, CASQ2, CAV3, GPD1L, HCN4, KCNA5, KCND2, KCND3, KCNE1, KCNE2, KCNE3, KCNE5, KCNH2, KCNJ2, KCNJ5, KCNJ8, KCNQ1, NOS1AP, PKP2, PRKAG2, RANGRF, RYR2, SCN10A, SCN1B, SCN2B, SCN3B, SCN4B, SCN5A, SEMA3A, SLMAP, SNTA1, TRDN, TRPM4	PANEL POR EXOMA CLÍNICO (Sec. & CNVs) - 41 genes
